"title","description","streetaddress","city","state","zipcode","Year"
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1979
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1980
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1981
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1982
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1983
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1984
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1985
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1986
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1987
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1988
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1989
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1990
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1991
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1992
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1993
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1994
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1995
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1996
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1997
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1998
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,1999
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2000
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2001
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2002
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2003
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2004
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2005
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2006
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2007
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2008
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2009
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2010
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2011
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2012
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2013
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2014
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2015
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2016
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2017
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2018
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2019
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2020
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2021
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2022
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2023
"Babes of Carytown",NA,"3166 W Cary St, Richmond, Virginia, 23221","Richmond","Virginia",23221,2024
"The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",94706,1972
"The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",94706,1973
"The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",94706,1974
"The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",94706,1975
"The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",94706,1976
"The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",94706,1977
"The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",94706,1978
"The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",94706,1979
"The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",94706,1980
"The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",94706,1981
"The Bacchanal",NA,"1369 Solano Av, Albany, California, 94706","Albany","California",94706,1982
"Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",80218,2012
"Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",80218,2013
"Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",80218,2014
"Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",80218,2015
"Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",80218,2016
"Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",80218,2017
"Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",80218,2018
"Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",80218,2019
"Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",80218,2020
"Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",80218,2021
"Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",80218,2022
"Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",80218,2023
"Blush & Blu",NA,"1526 East Colfax Av, Denver, Colorado, 80218","Denver","Colorado",80218,2024
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,1992
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,1993
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,1994
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,1995
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,1996
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,1997
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,1998
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,1999
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,2000
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,2001
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,2002
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,2003
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,2004
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,2005
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,2006
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,2007
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,2008
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,2009
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,2010
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,2011
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,2012
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,2013
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,2014
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,2015
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,2016
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,2017
"Bum Bum Bar","Latina Lesbians","63-14 Roosevelt Av, New York, New York, 11377","New York","New York",11377,2018
"Cafe des Beaux Arts",NA,"80 West 40th St, New York, New York, 10018","New York","New York",10018,1911
"Cafe des Beaux Arts",NA,"80 West 40th St, New York, New York, 10018","New York","New York",10018,1912
"Cafe des Beaux Arts",NA,"80 West 40th St, New York, New York, 10018","New York","New York",10018,1913
"Cafe des Beaux Arts",NA,"80 West 40th St, New York, New York, 10018","New York","New York",10018,1914
"Cafe des Beaux Arts",NA,"80 West 40th St, New York, New York, 10018","New York","New York",10018,1915
"Cafe des Beaux Arts",NA,"80 West 40th St, New York, New York, 10018","New York","New York",10018,1916
"Cafe des Beaux Arts",NA,"80 West 40th St, New York, New York, 10018","New York","New York",10018,1917
"Cafe des Beaux Arts",NA,"80 West 40th St, New York, New York, 10018","New York","New York",10018,1918
"Cafe des Beaux Arts",NA,"80 West 40th St, New York, New York, 10018","New York","New York",10018,1919
"Cafe des Beaux Arts",NA,"80 West 40th St, New York, New York, 10018","New York","New York",10018,1920
"Cafe des Beaux Arts",NA,"80 West 40th St, New York, New York, 10018","New York","New York",10018,1921
"Chances Bar",NA,"1100 Westheimer Rd, Houston, Texas, 77006","Houston","Texas",77006,1994
"Chances Bar",NA,"1100 Westheimer Rd, Houston, Texas, 77006","Houston","Texas",77006,1995
"Chances Bar",NA,"1100 Westheimer Rd, Houston, Texas, 77006","Houston","Texas",77006,1996
"Chances Bar",NA,"1100 Westheimer Rd, Houston, Texas, 77006","Houston","Texas",77006,1997
"Chances Bar",NA,"1100 Westheimer Rd, Houston, Texas, 77006","Houston","Texas",77006,1998
"Chances Bar",NA,"1100 Westheimer Rd, Houston, Texas, 77006","Houston","Texas",77006,1999
"Chances Bar",NA,"1100 Westheimer Rd, Houston, Texas, 77006","Houston","Texas",77006,2000
"Chances Bar",NA,"1100 Westheimer Rd, Houston, Texas, 77006","Houston","Texas",77006,2001
"Chances Bar",NA,"1100 Westheimer Rd, Houston, Texas, 77006","Houston","Texas",77006,2002
"Chances Bar",NA,"1100 Westheimer Rd, Houston, Texas, 77006","Houston","Texas",77006,2003
"Chances Bar",NA,"1100 Westheimer Rd, Houston, Texas, 77006","Houston","Texas",77006,2004
"Chances Bar",NA,"1100 Westheimer Rd, Houston, Texas, 77006","Houston","Texas",77006,2005
"Chances Bar",NA,"1100 Westheimer Rd, Houston, Texas, 77006","Houston","Texas",77006,2006
"Chances Bar",NA,"1100 Westheimer Rd, Houston, Texas, 77006","Houston","Texas",77006,2007
"Chances Bar",NA,"1100 Westheimer Rd, Houston, Texas, 77006","Houston","Texas",77006,2008
"Chances Bar",NA,"1100 Westheimer Rd, Houston, Texas, 77006","Houston","Texas",77006,2009
"Chances Bar",NA,"1100 Westheimer Rd, Houston, Texas, 77006","Houston","Texas",77006,2010
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1965
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1966
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1967
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1968
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1969
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1970
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1971
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1972
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1973
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1974
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1975
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1976
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1977
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1978
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1979
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1980
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1981
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1982
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1983
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1984
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1985
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1986
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1987
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1988
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1989
"Chez-Elle",NA,"429 Cookman Av, Asbury Park, New Jersey, 07712","Asbury Park","New Jersey",7712,1990
"Chi-Chi Club",NA,NA,"San Francisco","California",NA,1949
"Chi-Chi Club",NA,NA,"San Francisco","California",NA,1950
"Chi-Chi Club",NA,NA,"San Francisco","California",NA,1951
"Chi-Chi Club",NA,NA,"San Francisco","California",NA,1952
"Chi-Chi Club",NA,NA,"San Francisco","California",NA,1953
"Chi-Chi Club",NA,NA,"San Francisco","California",NA,1954
"Chi-Chi Club",NA,NA,"San Francisco","California",NA,1955
"Chi-Chi Club",NA,NA,"San Francisco","California",NA,1956
"Clementina's Baybrick",NA,"1190 Folsom St, San Francisco, California, 94103","San Francisco","California",94103,1982
"Clementina's Baybrick",NA,"1190 Folsom St, San Francisco, California, 94103","San Francisco","California",94103,1983
"Clementina's Baybrick",NA,"1190 Folsom St, San Francisco, California, 94103","San Francisco","California",94103,1984
"Clementina's Baybrick",NA,"1190 Folsom St, San Francisco, California, 94103","San Francisco","California",94103,1985
"Clementina's Baybrick",NA,"1190 Folsom St, San Francisco, California, 94103","San Francisco","California",94103,1986
"Clementina's Baybrick",NA,"1190 Folsom St, San Francisco, California, 94103","San Francisco","California",94103,1987
"Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",94133,1955
"Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",94133,1956
"Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",94133,1957
"Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",94133,1958
"Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",94133,1959
"Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",94133,1960
"Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",94133,1961
"Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",94133,1962
"Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",94133,1963
"Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",94133,1964
"Copper Lantern",NA,"1335 Grant Av, San Francisco, California, 94133","San Francisco","California",94133,1965
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,1987
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,1988
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,1989
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,1990
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,1991
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,1992
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,1993
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,1994
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,1995
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,1996
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,1997
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,1998
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,1999
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2000
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2001
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2002
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2003
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2004
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2005
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2006
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2007
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2008
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2009
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2010
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2011
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2012
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2013
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2014
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2015
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2016
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2017
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2018
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2019
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2020
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2021
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2022
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2023
"Cubbyhole",NA,"281 W 12th St, New York, New York, 10014","New York","New York",10014,2024
"Doc Marie's",NA,"203 Southeast Grand Av, Portland, Oregon, 97214","Portland","Oregon",97214,2022
"Doc Marie's",NA,"203 Southeast Grand Av, Portland, Oregon, 97214","Portland","Oregon",97214,2023
"Doc Marie's",NA,"203 Southeast Grand Av, Portland, Oregon, 97214","Portland","Oregon",97214,2024
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1973
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1974
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1975
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1976
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1977
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1978
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1979
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1980
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1981
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1982
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1983
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1984
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1985
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1986
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1987
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1988
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1989
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1990
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1991
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1992
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1993
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1994
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1995
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1996
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1997
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1998
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,1999
"Driftwood",NA,"22170 Mission Blvd, Hayward, California, 94541","Hayward","California",94541,2000
"The Egyptian Club",NA,"3701 Southeast Division St, Portland, Oregon, 97202","Portland","Oregon",97202,1995
"The Egyptian Club",NA,"3701 Southeast Division St, Portland, Oregon, 97202","Portland","Oregon",97202,1996
